a	a˧˧
a bung	a˧˧buŋ͡m˧˧
a bàng	a˧˧baŋ˧˨
a di	a˧˧zi˧˧
a di đà kinh	a˧˧zi˧˧da˧˨kiŋ˧˧
a di đà phật	a˧˧zi˧˧da˧˨fɤ̆t˨ˀ˩
a di đà tam tôn	a˧˧zi˧˧da˧˨tam˧˧ton˧˧
a du	a˧˧zu˧˧
a dua	a˧˧zuə˧˧
a dơi	a˧˧zɤj˧˧
a giao	a˧˧zaw˧˧
a ha	a˧˧ha˧˧
a hoàn	a˧˧hwan˧˨
a hoành	a˧˧hwɛŋ˧˨
a hành	a˧˧hɛŋ˧˨
a hành ác nghiệp	a˧˧hɛŋ˧˨ak˦˥ŋiəp˨ˀ˩
a hành ác tỏi	a˧˧hɛŋ˧˨ak˦˥tɔj˧˩˨
a hộ	a˧˧ho˨ˀ˩ʔ
a la hán	a˧˧la˧˧han˨˦
a lù	a˧˧lu˧˨
a lưới	a˧˧lɯəj˨˦
a mú sung	a˧˧mu˨˦suŋ͡m˧˧
a ngo	a˧˧ŋɔ˧˧
a ngu	a˧˧ŋu˧˧
a nguỳ	a˧˧ŋwi˧˨
a nguỵ	a˧˧ŋwi˨ˀ˩ʔ
a pa tít	a˧˧pa˧˧tit˦˥
a phiến	a˧˧fiən˨˦
a pác thai	a˧˧pak˦˥tʰaj˧˧
a roàng	a˧˧zwaŋ˧˨
a ting	a˧˧tiŋ˧˧
a tiêng	a˧˧tiəŋ˧˧
a tì địa ngục	a˧˧ti˧˨diə˨ˀ˩ʔŋuk͡p˨ˀ˩
a tòng	a˧˧tɔŋ͡m˧˨
a tùng	a˧˧tuŋ͡m˧˨
a túc	a˧˧tuk͡p˦˥
a tăng kì	a˧˧tăŋ˧˧ki˧˨
a vao	a˧˧vaw˧˧
a vương	a˧˧vɯəŋ˧˧
a xan	a˧˧san˧˧
a xing	a˧˧siŋ˧˧
a xít	a˧˧sit˦˥
a đảng	a˧˧daŋ˧˩˨
a đẩu	a˧˧dɤ̆w˧˩˨
a đới	a˧˧dɤj˨˦
a-ba-giua	a˧˧-ba˧˧-zuə˧˧
a-ba-toa	a˧˧-ba˧˧-twa˧˧
a-di-đà phật	a˧˧-zi˧˧-da˧˨fɤ̆t˨ˀ˩
a-dong	a˧˧-zɔŋ͡m˧˧
a-dốt	a˧˧-zot˦˥
a-ga	a˧˧-ɣa˧˧
a-giăng	a˧˧-zăŋ˧˧
a-giăng-đa	a˧˧-zăŋ˧˧-da˧˧
a-gon	a˧˧-ɣɔn˧˧
a-la	a˧˧-la˧˧
a-la-hán	a˧˧-la˧˧-han˨˦
a-la-mốt	a˧˧-la˧˧-mot˦˥
a-la-văng	a˧˧-la˧˧-văŋ˧˧
a-len	a˧˧-lɛn˧˧
a-lu-min	a˧˧-lu˧˧-min˧˧
